epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,8225.63,1.25114,0.56481,0.01391,0.7999,0.75533,0.79914,0.41186,1.80776,1.15294,0.02025,3.52932e-05,3.52932e-05,3.52932e-05
139,8281.25,1.24408,0.55426,0.01356,0.80559,0.75066,0.79819,0.41031,1.80659,1.14385,0.02025,3.19392e-05,3.19392e-05,3.19392e-05
140,8333.78,1.23263,0.55479,0.0136,0.79724,0.7686,0.80093,0.41471,1.79794,1.15398,0.0201,2.88481e-05,2.88481e-05,2.88481e-05
141,8389.74,1.23692,0.58307,0.01342,0.82171,0.74649,0.80055,0.4147,1.80414,1.13985,0.02021,2.60212e-05,2.60212e-05,2.60212e-05
142,8442.37,1.22628,0.56939,0.01331,0.82105,0.7513,0.80194,0.41732,1.80029,1.1376,0.02009,2.34598e-05,2.34598e-05,2.34598e-05
143,8497.21,1.21841,0.53652,0.01341,0.82785,0.74327,0.80327,0.41837,1.79974,1.13477,0.02011,2.1165e-05,2.1165e-05,2.1165e-05
144,8550.7,1.24075,0.56268,0.01334,0.82548,0.74544,0.80263,0.41509,1.80695,1.13918,0.02016,1.91377e-05,1.91377e-05,1.91377e-05
145,8606.84,1.24151,0.55908,0.01341,0.80362,0.76634,0.80507,0.41738,1.80564,1.13188,0.02011,1.7379e-05,1.7379e-05,1.7379e-05
146,8661.3,1.23153,0.55468,0.01333,0.83046,0.74161,0.80164,0.41608,1.80461,1.1424,0.0201,1.58896e-05,1.58896e-05,1.58896e-05
147,8717.34,1.23907,0.56461,0.01351,0.83377,0.7354,0.79958,0.41482,1.80309,1.13266,0.02008,1.467e-05,1.467e-05,1.467e-05
148,8773.41,1.21009,0.55941,0.01317,0.82637,0.74527,0.80109,0.41407,1.80291,1.13704,0.01999,1.3721e-05,1.3721e-05,1.3721e-05
149,8826.14,1.23542,0.56518,0.01344,0.82613,0.74724,0.80133,0.41246,1.80891,1.12959,0.02016,1.30427e-05,1.30427e-05,1.30427e-05
150,8881.84,1.2382,0.54332,0.01363,0.81217,0.75257,0.80264,0.41569,1.80921,1.12679,0.02019,1.26357e-05,1.26357e-05,1.26357e-05
